date,address,county,price,desc,region,latitude,longitude,apt,ed,suffix
151,"Curragraigue, Blennerville, Tralee",Kerry,265000.0,Second-Hand Dwelling house /Apartment,Munster,52.226912799999994,-9.7374314,No,Blennerville,
193,"68 The Kilns, Portmarnock, County Dublin",Dublin,222000.0,Second-Hand Dwelling house /Apartment,Leinster,53.4193726,-6.1502519,No,Portmarnock South,the
193,"7 Nelson Street, Dublin 7",Dublin,390000.0,Second-Hand Dwelling house /Apartment,Leinster,53.3574423,-6.2676516,No,Inns Quay B,street
193,"8 Shanowen Grove, Santry",Dublin,300000.0,Second-Hand Dwelling house /Apartment,Leinster,53.38948780000001,-6.258550700000002,No,Whitehall B,grove
193,"8 Weirview Drive, Stillorgan",Dublin,470000.0,Second-Hand Dwelling house /Apartment,Leinster,53.2832076,-6.2012488,No,Stillorgan-Merville,drive
193,"9 Richmond, Nenagh",Tipperary,92000.0,Second-Hand Dwelling house /Apartment,Munster,52.8730578,-8.2238892,No,Nenagh Rural,
193,"The Gables, Kilmoyley, Ardfert",Kerry,195000.0,Second-Hand Dwelling house /Apartment,Munster,52.3668349,-9.7730875,No,Ballynorig,the
193,"Crosspatrick, Grangeclare West, Kilmeague",Kildare,130000.0,Second-Hand Dwelling house /Apartment,Leinster,53.26763979999999,-6.8631132999999975,No,Kilmeage South,
193,"62 The Courtyard, Clonsilla",Dublin,213000.0,Second-Hand Dwelling house /Apartment,Leinster,53.38127249999999,-6.403728999999999,No,Blanchardstown-Delwood,the
193,"Eighter, Virginia",Cavan,140000.0,Second-Hand Dwelling house /Apartment,Ulster,53.8087183,-7.145124300000001,No,Munterconnaught,
193,"Gurrane, Firies",Kerry,170000.0,Second-Hand Dwelling house /Apartment,Munster,52.2817315,-9.684065499999999,No,Tralee Rural,
193,"Kilberry, Navan",Meath,170000.0,Second-Hand Dwelling house /Apartment,Leinster,53.705986,-6.6850179,No,Donaghpatrick,
193,"Neighbourly Bridge, Nash, Gusserane",Wexford,235000.0,Second-Hand Dwelling house /Apartment,Leinster,52.3266471,-6.848302799999999,No,Dunmain,
193,"Ross, Mountnugent",Cavan,80000.0,Second-Hand Dwelling house /Apartment,Ulster,53.81855110000001,-7.2532887000000015,No,Kilbride,
193,"Cloonagh, Ballinfull",Sligo,125000.0,Second-Hand Dwelling house /Apartment,Connacht,54.364489,-8.6359274,No,Lissadill West,
193,"60 Stapolin Lawns, Baldoyle, Dublin 13",Dublin,312000.0,Second-Hand Dwelling house /Apartment,Leinster,53.40033560000001,-6.1436215,No,Baldoyle,
193,"49 Griffith Parade, Finglas",Dublin,195000.0,Second-Hand Dwelling house /Apartment,Leinster,53.382542,-6.281425599999999,No,Ballygall D,
