ed,mean,std
Carna,130409.28888888888,41139.19007501585
Carnagarve,71000.0,57170.79674099356
Carnagh,116000.0,59732.73809227232
Carnalway,235588.23529411765,248035.67254115114
Carndonagh,69500.0,37018.01363300486
Carnew,95875.0,44719.3902422245
Carney,450000.0,
Carnmore,215109.5,82734.8444059975
Carrafin,265000.0,169705.6274847714
Carran,117000.0,
Carrick,193256.42857142858,120950.44360952405
Carrick-on Shannon,80690.78947368421,76987.83323959347
Carrick-on-Suir Rural,80000.0,0.0
Carrick-on-Suir Urban,102703.70370370371,52458.83548065114
Carrickart,128916.66666666667,60460.24864873338
Carrickatee,138000.0,8485.28137423857
Carrickbanagher,165000.0,
Carrickbeg Urban,126425.0,68396.68062890648
Carrickbyrne,70333.33333333333,23028.967265887833
Carrickleck,50000.0,
Carrickmacross Rural,126751.85185185185,45560.537667948905
Carrickmacross Urban,104970.58823529411,44582.95308615561
Carricknaboy,299000.0,
Carrig,147750.0,93899.81363133795
Carrigaline,224641.42857142858,91357.28934554348
Carrigallen East,71000.0,69782.99697395253
Carrigallen West,69777.0,37499.998755555534
Carrigatogher,66000.0,0.0
Carrigboy,126666.66666666667,112509.25887825113
Carrigeen,29500.0,28991.378028648447
Carriglea,215436.0,196830.02941624532
Carrignavar,301000.0,89334.57710576945
Carrigrohane Beg,240100.0,137496.54541114843
Carrigtohill,199036.86597938143,88818.01324098396
Carrowbrowne,221500.0,92352.5852372309
Carrowduff,62750.0,24395.18395093589
Carrowkeel,68666.66666666667,31758.20104057113
Carrowmore,135000.0,21213.203435596424
Carrownaskeagh,70000.0,
Carthage,70800.0,13516.656391282573
Cashel,145000.0,
Cashel East,180400.0,
Cashel Rural,109281.81818181818,62280.79089169533
Cashel West,51337.5,23586.48536061841
Castle,239083.33333333334,127070.10114917123
Castle A,202166.66666666666,174029.6909533926
Castle B,217166.66666666666,166582.91228894598
Castle C,251221.0,107051.79110598758
Castle D,278031.25,146769.37336628966
Castle Ellis,126666.66666666667,51049.58967573203
Castle Hyde,134375.0,56794.03577841603
Castle Talbot,123131.57894736843,45334.20406800513
Castlebanny,99000.0,0.0
Castlebar Rural,113070.68965517242,45506.18237782369
Castlebar Urban,108492.72727272728,57518.525532747095
Castlebellingham,170083.33333333334,219951.01038571514
Castleblakeney,175000.0,14142.13562373095
Castleblaney Rural,108407.69230769231,43580.70026855278
Castleblaney Urban,97333.33333333333,48363.209157374986
Castleboy,94000.0,65053.82386916237
Castlecary,120050.0,127208.5099354599
Castlecomer,73790.47619047618,46031.583527265815
Castleconnell,173673.07692307694,109392.04196902919
Castleconor West,86666.66666666667,10103.629710818454
Castlecor,402700.0,
Castlecove,165500.0,78734.25768579604
Castlecuffe,142500.0,152027.9579551077
Castledaly,225000.0,
